City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,24.8,58,75,3.44,broken clouds
1,Butaritari,KI,3.0707,172.7902,81.21,82,83,16.71,light rain
2,Severo-Kurilsk,RU,50.6789,156.125,11.59,82,42,5.97,scattered clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,75,14.97,snow
4,Port Alfred,ZA,-33.5906,26.891,70.0,94,94,16.22,overcast clouds
5,Barrow,US,71.2906,-156.7887,-2.2,78,90,11.5,snow
6,Rizhao,CN,35.4275,119.4553,40.69,74,0,9.66,clear sky
7,Dikson,RU,73.5069,80.5464,-33.79,83,4,10.13,clear sky
8,Nikolskoye,RU,59.7035,30.7861,12.0,78,75,11.18,light snow
9,Qaanaaq,GL,77.484,-69.3632,-8.28,75,100,8.39,overcast clouds
10,Saskylakh,RU,71.9167,114.0833,-25.58,85,94,7.92,overcast clouds
11,Albany,US,42.6001,-73.9662,42.01,59,90,3.94,overcast clouds
12,Mayumba,GA,-3.432,10.6554,78.98,82,56,3.24,broken clouds
13,Hermanus,ZA,-34.4187,19.2345,68.0,84,6,1.01,clear sky
14,Victoria,HK,22.2855,114.1577,64.99,77,0,4.03,clear sky
15,Namatanai,PG,-3.6667,152.4333,76.98,91,100,13.18,moderate rain
16,Mataura,NZ,-46.1927,168.8643,63.16,62,30,0.83,scattered clouds
17,Narsaq,GL,60.9167,-46.05,19.4,45,1,1.14,clear sky
18,Longyearbyen,SJ,78.2186,15.6401,21.2,86,90,18.41,light snow
19,Carupano,VE,10.6678,-63.2585,79.92,70,64,14.41,broken clouds
20,Bluff,NZ,-46.6,168.3333,57.07,78,34,3.42,scattered clouds
21,Ushuaia,AR,-54.8,-68.3,48.2,71,75,31.07,broken clouds
22,Ulladulla,AU,-35.35,150.4667,71.01,100,75,11.86,broken clouds
23,Mehamn,NO,71.0357,27.8492,32.0,59,75,23.02,snow
24,Pevek,RU,69.7008,170.3133,-17.81,86,50,0.92,scattered clouds
25,Ribeira Grande,PT,38.5167,-28.7,59.0,77,75,13.8,broken clouds
26,Busselton,AU,-33.65,115.3333,57.99,78,100,1.01,overcast clouds
27,Mpika,ZM,-11.8343,31.4529,63.95,96,100,3.53,light rain
28,Punta Arenas,CL,-53.15,-70.9167,57.2,38,0,25.32,clear sky
29,Atuona,PF,-9.8,-139.0333,79.5,79,6,18.14,clear sky
30,Cururupu,BR,-1.8283,-44.8683,80.02,72,33,5.19,scattered clouds
31,Tiksi,RU,71.6872,128.8694,-20.85,88,100,11.99,overcast clouds
32,Seddon,AU,-37.8068,144.8916,64.99,72,75,8.05,broken clouds
33,Upernavik,GL,72.7868,-56.1549,5.43,74,91,4.34,overcast clouds
34,Hobart,AU,-42.8794,147.3294,66.0,94,75,5.75,broken clouds
35,Bira,RU,49.0,132.4667,-9.81,85,45,3.78,scattered clouds
36,Karatau,KZ,43.1667,70.4667,39.22,65,100,5.28,overcast clouds
37,Qui Nhon,VN,13.7667,109.2333,69.4,88,30,7.94,scattered clouds
38,Mahebourg,MU,-20.4081,57.7,78.8,78,40,6.91,light rain
39,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,6.91,light rain
40,Kapaa,US,22.0752,-159.319,72.0,60,1,3.44,clear sky
41,Taltal,CL,-25.4,-70.4833,69.33,62,36,6.85,scattered clouds
42,New Norfolk,AU,-42.7826,147.0587,66.0,92,100,1.01,overcast clouds
43,Ponta Do Sol,PT,32.6667,-17.1,50.0,70,29,5.01,scattered clouds
44,Kavieng,PG,-2.5744,150.7967,80.64,77,99,8.95,overcast clouds
45,Okhotsk,RU,59.3833,143.3,-1.79,86,99,8.21,overcast clouds
46,Clyde River,CA,70.4692,-68.5914,-16.6,76,90,13.8,overcast clouds
47,Dudinka,RU,69.4058,86.1778,-29.18,84,98,6.24,overcast clouds
48,Bredasdorp,ZA,-34.5322,20.0403,68.0,83,15,3.44,few clouds
49,Saint Anthony,US,45.0205,-93.218,10.99,56,40,16.11,scattered clouds
50,Vaini,TO,-21.2,-175.2,82.4,89,75,3.44,light rain
51,Kaeo,NZ,-35.1,173.7833,69.01,85,100,3.49,overcast clouds
52,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,4.61,light rain
53,Manono,CD,-7.3,27.4167,73.06,89,100,1.12,overcast clouds
54,Camacha,PT,33.0833,-16.3333,57.2,67,40,17.27,scattered clouds
55,Lata,PT,40.1629,-8.3327,52.0,92,100,1.01,light rain
56,Gamboma,CG,-1.8764,15.8644,80.87,59,91,2.15,overcast clouds
57,Kedrovyy,RU,56.1667,91.8167,-0.4,85,97,2.24,overcast clouds
58,Terrace,CA,54.5163,-128.6035,32.0,100,90,5.75,overcast clouds
59,Guadix,ES,37.2993,-3.1392,53.01,72,93,3.0,overcast clouds
60,Pulandian,CN,39.3953,121.9669,33.8,64,0,2.24,clear sky
61,Ahipara,NZ,-35.1667,173.1667,68.49,72,100,4.03,overcast clouds
62,Acapulco,MX,16.8634,-99.8901,84.2,70,1,5.75,clear sky
63,Dhidhdhoo,MV,6.8833,73.1,81.7,72,94,8.59,overcast clouds
64,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,83,75,10.36,light rain
65,Lompoc,US,34.6391,-120.4579,62.6,55,1,11.5,clear sky
66,Touros,BR,-5.1989,-35.4608,84.2,61,0,11.5,clear sky
67,Hima,UG,0.2958,30.1804,74.14,52,97,0.98,overcast clouds
68,Saint George,US,37.1041,-113.5841,54.0,31,1,8.28,clear sky
69,Rikitea,PF,-23.1203,-134.9692,79.0,68,1,10.67,clear sky
70,Khatanga,RU,71.9667,102.5,-33.2,78,13,7.56,few clouds
71,Faanui,PF,-16.4833,-151.75,81.25,65,3,4.79,clear sky
72,Broken Hill,AU,-31.95,141.4333,60.8,63,0,9.22,clear sky
73,Klyuchi,RU,52.2667,79.1667,28.76,99,100,5.61,overcast clouds
74,Manokwari,ID,-0.8667,134.0833,77.9,73,97,4.36,overcast clouds
75,Torbay,CA,47.6666,-52.7314,37.99,100,75,25.32,broken clouds
76,Maldonado,UY,-34.6667,-54.9167,71.01,68,75,12.66,broken clouds
77,Sakakah,SA,29.9697,40.2064,55.4,76,20,8.05,few clouds
78,Souillac,MU,-20.5167,57.5167,78.8,78,40,6.91,light rain
79,Prince Rupert,CA,54.3161,-130.3201,39.2,75,1,3.44,clear sky
80,Mmathubudukwane,BW,-24.6,26.4333,68.0,100,90,2.3,light rain
81,Nanakuli,US,21.3906,-158.1547,73.4,56,75,4.61,broken clouds
82,Ojinaga,MX,29.5667,-104.4167,69.8,17,1,6.91,clear sky
83,Yellowknife,CA,62.456,-114.3525,-31.0,68,20,9.22,few clouds
84,Hilo,US,19.7297,-155.09,73.4,73,75,3.44,light rain
85,Castro,BR,-24.7911,-50.0119,71.98,61,0,3.65,clear sky
86,Klaksvik,FO,62.2266,-6.589,33.8,86,75,4.61,broken clouds
87,Carutapera,BR,-1.195,-46.02,80.53,72,77,8.48,broken clouds
88,Birin,NP,26.8865,88.0718,47.23,67,0,5.44,clear sky
89,Thompson,CA,55.7435,-97.8558,-13.0,64,75,10.36,snow
90,Quatre Cocos,MU,-20.2078,57.7625,78.8,78,40,6.91,light rain
91,Ayan,RU,56.45,138.1667,-11.4,80,98,10.8,overcast clouds
92,Geraldton,AU,-28.7667,114.6,62.6,88,90,17.27,moderate rain
93,Chokurdakh,RU,70.6333,147.9167,-10.44,89,100,14.16,overcast clouds
94,Atasu,KZ,48.6814,71.6433,29.1,97,98,6.13,overcast clouds
95,Georgetown,MY,5.4112,100.3354,82.4,78,20,3.44,few clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,75.2,46,0,9.22,clear sky
97,Saint-Pierre,RE,-21.3393,55.4781,78.8,65,0,4.61,clear sky
98,Quimperle,FR,47.8667,-3.55,44.01,87,0,5.75,clear sky
99,Jamestown,US,42.097,-79.2353,26.01,68,90,21.85,light snow
100,Kahului,US,20.8947,-156.47,69.8,73,20,3.44,few clouds
101,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.4,65,0,11.5,clear sky
102,Benavente,ES,42.0025,-5.6783,48.0,81,20,9.22,few clouds
103,Leningradskiy,RU,69.3833,178.4167,-12.98,87,98,7.65,overcast clouds
104,Codrington,AU,-38.2667,141.9667,56.44,87,25,12.77,scattered clouds
105,Labuhan,ID,-6.8844,112.2051,77.27,86,97,10.0,overcast clouds
106,Carnarvon,AU,-24.8667,113.6333,80.6,79,90,23.02,overcast clouds
107,Cape Town,ZA,-33.9258,18.4232,70.0,83,0,13.8,clear sky
108,Tura,IN,25.5198,90.2201,61.54,44,0,3.15,clear sky
109,Solton,RU,52.8429,86.4787,24.44,98,100,3.33,light snow
110,Deogarh,IN,21.5333,84.7333,54.72,74,0,1.54,clear sky
111,Cherskiy,RU,68.75,161.3,-17.28,77,0,1.48,clear sky
112,Vardo,NO,70.3705,31.1107,28.4,80,75,18.41,light snow
113,Puerto Ayora,EC,-0.7393,-90.3518,87.8,62,0,5.75,clear sky
114,Atocha,BO,-20.9333,-66.2333,59.22,48,100,5.68,overcast clouds
115,Shimoda,JP,34.6667,138.95,46.0,44,24,3.0,few clouds
116,Ambilobe,MG,-13.2,49.05,75.04,91,79,2.55,light rain
117,Lebu,CL,-37.6167,-73.65,64.81,72,10,12.17,clear sky
118,Leninskoye,KZ,41.7589,69.3864,51.8,25,0,11.5,clear sky
119,Spencer,US,43.1414,-95.1444,12.2,67,75,23.02,broken clouds
120,Ancud,CL,-41.8697,-73.8203,84.2,28,0,17.27,clear sky
121,Viradouro,BR,-20.8731,-48.2969,75.2,83,75,16.11,broken clouds
122,Comodoro Rivadavia,AR,-45.8667,-67.5,66.2,52,0,14.97,clear sky
123,Namibe,AO,-15.1961,12.1522,72.41,74,53,1.99,broken clouds
124,Margate,GB,51.3813,1.3862,46.99,86,1,4.0,clear sky
125,Leshukonskoye,RU,64.8989,45.7622,-11.9,87,96,10.13,overcast clouds
126,Bethel,US,41.3712,-73.414,41.0,75,40,3.44,scattered clouds
127,Budingen,DE,50.3,9.1167,44.01,95,100,3.04,overcast clouds
128,Cidreira,BR,-30.1811,-50.2056,71.91,66,10,16.62,clear sky
129,Baculin,PH,7.4525,126.5842,76.15,79,51,6.53,broken clouds
130,Kruisfontein,ZA,-34.0033,24.7314,73.0,80,25,4.0,scattered clouds
131,Sao Filipe,CV,14.8961,-24.4956,70.39,75,50,16.55,scattered clouds
132,Preobrazheniye,RU,42.9019,133.9064,24.35,92,76,6.6,broken clouds
133,Halifax,CA,44.6453,-63.5724,37.4,60,75,11.5,light rain
134,Mbandaka,CD,0.0487,18.2603,78.28,64,67,4.25,broken clouds
135,Matay,EG,28.419,30.7792,56.62,77,0,8.93,clear sky
136,Kodiak,US,57.79,-152.4072,28.4,86,90,4.99,overcast clouds
137,Ostrovnoy,RU,68.0531,39.5131,12.31,92,100,11.92,overcast clouds
138,Lavrentiya,RU,65.5833,-171.0,2.07,92,100,16.28,light snow
139,Katsuura,JP,35.1333,140.3,42.8,65,75,9.22,broken clouds
140,Bani,DO,18.2833,-70.3333,86.0,62,40,11.5,scattered clouds
141,Mlonggo,ID,-6.5333,110.7,78.73,83,91,13.82,overcast clouds
142,Belyy Yar,RU,53.6039,91.3903,3.2,85,98,2.17,smoke
143,Srednekolymsk,RU,67.45,153.6833,-23.58,85,7,3.42,clear sky
144,Henties Bay,NA,-22.116,14.2845,64.99,89,34,3.0,scattered clouds
145,Beloha,MG,-25.1667,45.05,76.17,89,88,3.13,overcast clouds
146,Cabo San Lucas,MX,22.8909,-109.9124,82.0,29,20,8.05,few clouds
147,Salym,RU,60.0625,71.4789,21.65,98,100,6.89,overcast clouds
148,Hasaki,JP,35.7333,140.8333,35.6,93,75,4.61,broken clouds
149,Esperance,AU,-33.8667,121.9,57.2,94,40,5.75,light rain
150,Aparecida Do Taboado,BR,-20.0867,-51.0936,81.5,65,36,10.33,scattered clouds
151,Barranquilla,CO,10.9639,-74.7964,87.8,62,20,8.05,few clouds
152,Paamiut,GL,61.994,-49.6678,20.75,78,0,8.55,clear sky
153,Vaitape,PF,-16.5167,-151.75,81.46,64,1,5.41,clear sky
154,Mount Gambier,AU,-37.8333,140.7667,53.6,100,75,8.05,broken clouds
155,Bonavista,CA,48.6499,-53.1147,37.4,100,100,5.75,overcast clouds
156,Diu,IN,20.7141,70.9822,66.02,34,0,12.91,clear sky
157,Wageningen,NL,51.9667,5.6667,46.99,100,90,4.61,mist
158,Qianan,CN,44.9932,124.0581,11.84,93,100,5.84,overcast clouds
159,Salalah,OM,17.0151,54.0924,75.2,60,40,8.05,scattered clouds
160,Tabuk,PH,17.4189,121.4443,66.52,88,26,0.81,scattered clouds
161,Dargaville,NZ,-35.9333,173.8833,68.4,66,100,5.64,overcast clouds
162,Salinopolis,BR,-0.6136,-47.3561,81.95,75,90,11.48,overcast clouds
163,Saldanha,ZA,-33.0117,17.9442,64.4,77,0,10.36,clear sky
164,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,90,9.22,overcast clouds
165,Lima,PE,-12.0432,-77.0282,75.99,73,75,12.66,broken clouds
166,Ulaangom,MN,49.9811,92.0667,-7.87,86,99,0.4,overcast clouds
167,Guaratinga,BR,-16.5667,-39.5667,82.4,69,20,19.57,few clouds
168,Along,IN,28.1667,94.7667,50.49,60,1,2.21,clear sky
169,Porto Novo,BJ,6.4965,2.6036,86.0,79,20,11.5,few clouds
170,Egvekinot,RU,66.3167,-179.1667,-9.98,93,100,18.81,snow
171,Nagornskiy,RU,58.7731,57.5451,35.01,100,100,13.18,overcast clouds
172,Saint-Georges,GD,12.0564,-61.7485,84.2,61,20,23.02,few clouds
173,Bathsheba,BB,13.2167,-59.5167,80.6,57,40,23.02,scattered clouds
174,Nhulunbuy,AU,-12.2333,136.7667,77.0,94,90,5.75,light rain
175,The Valley,AI,18.217,-63.0578,82.4,65,20,16.11,few clouds
176,Clifton,US,40.8584,-74.1638,46.4,65,1,3.44,clear sky
177,Ilo,PE,-17.6394,-71.3375,71.04,75,67,4.68,broken clouds
178,Hithadhoo,MV,-0.6,73.0833,82.58,76,99,10.92,overcast clouds
179,Grand Gaube,MU,-20.0064,57.6608,78.01,78,6,4.0,moderate rain
180,Tuatapere,NZ,-46.1333,167.6833,62.01,74,80,2.06,broken clouds
181,Haines Junction,CA,60.7522,-137.5108,-16.6,52,100,1.79,overcast clouds
182,Kanina,CD,-10.7341,25.4699,64.49,87,100,0.98,light rain
183,Denpasar,ID,-8.65,115.2167,78.8,89,75,6.91,light rain
184,Lunca Corbului,RO,44.7,24.75,40.59,82,7,3.02,clear sky
185,Madison Heights,US,42.4859,-83.1052,19.99,63,90,16.11,overcast clouds
186,Lasa,IT,46.6166,10.7002,39.0,86,0,3.27,clear sky
187,Iqaluit,CA,63.7506,-68.5145,23.0,80,75,26.46,snow
188,Bismil,TR,37.8486,40.6658,41.0,100,0,6.08,clear sky
189,Adrar,MR,20.5022,-10.0711,65.97,27,19,10.69,few clouds
190,Voi,KE,-3.3945,38.563,73.27,83,5,4.5,clear sky
191,Caravelas,BR,-17.7125,-39.2481,80.4,79,98,15.28,overcast clouds
192,Glendive,US,47.1053,-104.7125,16.0,73,75,13.8,light snow
193,Pahrump,US,36.2083,-115.9839,62.01,25,0,1.01,clear sky
194,Sola,VU,-13.8833,167.55,81.01,79,74,9.08,broken clouds
195,Sabya,SA,17.1495,42.6254,77.0,78,43,6.91,scattered clouds
196,Ilulissat,GL,69.2167,-51.1,8.6,40,1,9.22,clear sky
197,Murgab,TM,37.4966,61.9714,51.8,40,40,6.91,scattered clouds
198,Turiacu,BR,-1.6633,-45.3717,80.8,69,62,6.87,broken clouds
199,Nassau,US,40.7507,-73.5829,45.0,70,1,8.05,clear sky
