City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,San Felipe,10.3399,-68.7425,79.79,79,79,7.36,VE,2021-02-04 20:41:47
1,Qaanaaq,77.484,-69.3632,-20.49,60,64,7.76,GL,2021-02-04 20:41:47
2,Hobart,-42.8794,147.3294,64.99,82,75,5.75,AU,2021-02-04 20:39:51
3,Punta Arenas,-53.15,-70.9167,62.6,39,0,28.77,CL,2021-02-04 20:41:47
4,Santiago,-33.4569,-70.6483,89.6,31,0,8.05,CL,2021-02-04 20:37:48
5,Port Alfred,-33.5906,26.891,66.99,85,4,3.0,ZA,2021-02-04 20:41:41
6,Port Blair,11.6667,92.75,77.76,81,1,6.38,IN,2021-02-04 20:41:48
7,Beyneu,45.3167,55.2,44.38,66,90,9.19,KZ,2021-02-04 20:41:48
8,Belaya Gora,68.5333,146.4167,-19.26,84,94,9.8,RU,2021-02-04 20:41:48
9,Rikitea,-23.1203,-134.9692,78.64,67,88,9.64,PF,2021-02-04 20:41:48
10,Katsuura,35.1333,140.3,41.0,48,0,14.97,JP,2021-02-04 20:40:51
11,Griffith,41.5284,-87.4237,34.0,93,90,19.57,US,2021-02-04 20:41:48
12,Vila Velha,-20.3297,-40.2925,84.2,65,20,21.85,BR,2021-02-04 20:38:00
13,Kalaleh,37.3807,55.4916,56.64,36,56,7.81,IR,2021-02-04 20:41:48
14,Finnentrop,51.1667,7.9667,42.01,88,85,2.57,DE,2021-02-04 20:41:48
15,Tiksi,71.6872,128.8694,-23.3,87,100,4.61,RU,2021-02-04 20:41:40
16,Ushuaia,-54.8,-68.3,55.4,67,20,37.98,AR,2021-02-04 20:41:02
17,Ishinomaki,38.4167,141.3,28.4,69,40,16.11,JP,2021-02-04 20:41:49
18,Yellowknife,62.456,-114.3525,-23.01,69,1,10.36,CA,2021-02-04 20:37:14
19,Kodiak,57.79,-152.4072,21.2,86,1,5.75,US,2021-02-04 20:41:40
20,Bluff,-46.6,168.3333,50.94,70,65,5.06,NZ,2021-02-04 20:41:40
21,Mataura,-46.1927,168.8643,55.15,62,34,3.53,NZ,2021-02-04 20:38:35
22,Ondjiva,-17.0667,15.7333,77.81,40,78,4.97,AO,2021-02-04 20:41:04
23,Luau,-10.7073,22.2247,65.64,86,1,0.98,AO,2021-02-04 20:41:49
24,Albany,42.6001,-73.9662,37.4,55,20,10.36,US,2021-02-04 20:39:58
25,Yerazgavors,40.7,43.75,24.8,80,40,1.14,AM,2021-02-04 20:41:49
26,Hithadhoo,-0.6,73.0833,82.29,75,84,10.09,MV,2021-02-04 20:41:50
27,Champerico,14.3,-91.9167,82.4,74,75,9.22,GT,2021-02-04 20:41:50
28,Roebourne,-20.7833,117.1333,80.26,83,52,8.21,AU,2021-02-04 20:37:11
29,Bambous Virieux,-20.3428,57.7575,79.0,78,40,11.5,MU,2021-02-04 20:37:04
30,Margate,51.3813,1.3862,46.0,88,72,1.99,GB,2021-02-04 20:41:50
31,Gornopravdinsk,60.05,69.9,7.57,95,100,4.27,RU,2021-02-04 20:41:50
32,Port Macquarie,-31.4333,152.9167,68.0,99,18,1.01,AU,2021-02-04 20:41:50
33,Moindou,-21.6924,165.677,77.0,100,75,3.44,NC,2021-02-04 20:41:50
34,Vaini,-21.2,-175.2,80.6,94,75,9.22,TO,2021-02-04 20:41:50
35,Barrow,71.2906,-156.7887,-25.6,75,1,5.75,US,2021-02-04 20:40:15
36,Santa Cruz,-17.8,-63.1667,86.0,48,75,14.97,BO,2021-02-04 20:39:59
37,Avera,33.194,-82.5271,55.4,24,1,6.91,US,2021-02-04 20:41:44
38,Provideniya,64.3833,-173.3,-9.94,87,100,28.03,RU,2021-02-04 20:40:25
39,Opuwo,-18.0607,13.84,77.34,33,74,5.93,NA,2021-02-04 20:41:51
40,Castro,-24.7911,-50.0119,73.54,91,99,7.27,BR,2021-02-04 20:40:31
41,Inuvik,68.3499,-133.7218,-32.8,75,10,2.19,CA,2021-02-04 20:41:51
42,Buala,-8.145,159.5921,80.06,80,98,7.02,SB,2021-02-04 20:41:51
43,Saskylakh,71.9167,114.0833,-41.89,75,0,3.89,RU,2021-02-04 20:41:51
44,Alofi,-19.0595,-169.9187,77.0,94,90,10.36,NU,2021-02-04 20:41:52
45,Faanui,-16.4833,-151.75,81.21,68,31,5.99,PF,2021-02-04 20:41:52
46,Hualmay,-11.0964,-77.6139,75.29,65,90,8.63,PE,2021-02-04 20:41:52
47,Chuy,-33.6971,-53.4616,69.17,66,53,16.37,UY,2021-02-04 20:41:52
48,Samarai,-10.6167,150.6667,80.69,78,11,4.54,PG,2021-02-04 20:41:52
49,Nikolskoye,59.7035,30.7861,10.0,85,20,6.71,RU,2021-02-04 20:41:52
50,Voyvozh,62.892,54.9635,13.96,97,100,9.08,RU,2021-02-04 20:41:52
51,New Norfolk,-42.7826,147.0587,64.99,54,85,1.61,AU,2021-02-04 20:41:52
52,Bathsheba,13.2167,-59.5167,82.4,57,40,21.85,BB,2021-02-04 20:41:53
53,Busselton,-33.65,115.3333,54.0,81,27,12.35,AU,2021-02-04 20:41:53
54,Karabash,55.4808,60.2157,30.45,98,100,4.38,RU,2021-02-04 20:41:53
55,Nyurba,63.2842,118.3319,-38.13,81,80,5.39,RU,2021-02-04 20:41:53
56,Taperoa,-7.2075,-36.8267,82.6,51,96,17.85,BR,2021-02-04 20:41:53
57,Ust-Omchug,61.15,149.6333,-16.1,84,99,7.85,RU,2021-02-04 20:41:53
58,Berlevag,70.8578,29.0864,30.2,59,40,27.63,NO,2021-02-04 20:37:27
59,Basoko,1.2391,23.616,75.15,89,100,1.05,CD,2021-02-04 20:41:53
60,Kirensk,57.7853,108.1119,1.35,92,100,2.77,RU,2021-02-04 20:41:53
61,Dingle,10.9995,122.6711,74.16,93,35,7.99,PH,2021-02-04 20:41:45
62,Namatanai,-3.6667,152.4333,80.38,78,99,2.57,PG,2021-02-04 20:41:54
63,Nara,34.6851,135.8049,37.0,80,20,4.61,JP,2021-02-04 20:41:54
64,Kapaa,22.0752,-159.319,66.99,72,40,4.61,US,2021-02-04 20:41:54
65,Carnarvon,-24.8667,113.6333,78.1,84,100,21.39,AU,2021-02-04 20:41:54
66,Pevek,69.7008,170.3133,-12.53,78,0,10.47,RU,2021-02-04 20:41:54
67,Paamiut,61.994,-49.6678,16.38,77,0,9.71,GL,2021-02-04 20:41:49
68,Port Elizabeth,-33.918,25.5701,69.8,83,75,8.05,ZA,2021-02-04 20:41:54
